Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
FIDD1Q,SHET,"B-2-1a, B-3-1a",132,FIDDES,56.924453,-2.302584,FIDDES 132kV
FIDD1R,SHET,"B-2-1a, B-3-1a",132,FIDDES,56.924453,-2.302584,FIDDES 132kV
FIDD3-,SHET,B-3-1a,33,FIDDES,56.924453,-2.302584,FIDDES 33kV
FIDF11,NGET,B-3-1c,132,FIDDLERS FERRY,53.3712945,-2.6891076,FIDDLERS FERRY 132kV
FIDF12,NGET,B-3-1c,132,FIDDLERS FERRY,53.3712945,-2.6891076,FIDDLERS FERRY 132kV
FIDF21,NGET,"B-2-1c, B-3-1c",275,FIDDLERS FERRY,53.3712945,-2.6891076,FIDDLERS FERRY 275kV
FIGS2-,SPT,B-2-2b,275,FIFE GRID SERVICES,,,FIFE GRID SERVICES 275kV
FINL1Q,SHET,"B-2-1a, B-3-1a",132,FINLARIG,,,FINLARIG 132kV
FINL5-,SHET,B-3-1a,11,FINLARIG,,,FINLARIG 11kV
FINN1Q,SPT,"B-2-1b, B-3-1b",132,FINNIESTON,55.86499574,-4.28598242,FINNIESTON 132kV
FINN1R,SPT,"B-2-1b, B-3-1b",132,FINNIESTON,55.86499574,-4.28598242,FINNIESTON 132kV
FINN3-,SPT,B-3-1b,33,FINNIESTON,55.86499574,-4.28598242,FINNIESTON 33kV
FINS1-,SHET,"B-2-2a, B-3-2a, B-4-2a",132,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 132kV
FINS2A,SHET,"B-2-2a, B-3-2a",275,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 275kV
FINS2B,SHET,B-2-2a,275,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 275kV
FINS2C,SHET,B-2-2a,275,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 275kV
FINS3-,SHET,B-3-2a,33,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 33kV
FINS3Y,SHET,B-4-2a,33,ORKNEY FINSTOWN,51.9240068,-1.77008634,ORKNEY FINSTOWN 33kV
FLEE11,NGET,"B-3-1c, B-4-1c",132,FLEET,51.2512879,-0.8833587,FLEET 132kV
FLEE12,NGET,B-3-1c,132,FLEET,51.2512879,-0.8833587,FLEET 132kV
FLEE41,NGET,"B-2-1c, B-2-2c, B-3-1c, B-4-1c",400,FLEET,51.2512879,-0.8833587,FLEET 400kV
FLIB41,NGET,B-2-1c,400,FLINTSHIRE BRIDGE ,53.238309,-3.04548,FLINTSHIRE BRIDGE  400kV
FNLN4A,SHET,B-2-2a,400,FANELLAN,,,FANELLAN 400kV
FNLN4B,SHET,B-2-2a,400,FANELLAN,,,FANELLAN 400kV
FNLN4R,SHET,B-2-2a,400,FANELLAN,,,FANELLAN 400kV
FOGG1Q,SHET,B-2-1a,132,FOGGIETON,,,FOGGIETON 132kV
FOGG1R,SHET,B-2-1a,132,FOGGIETON,,,FOGGIETON 132kV
FOUR21,NGET,"B-2-1c, B-3-1c",275,FOURSTONES,55.0118266,-2.1641879,FOURSTONES 275kV
FOUR31,NGET,B-3-1c,33,FOURSTONES,55.0118266,-2.1641879,FOURSTONES 33kV
FOUR71,NGET,B-3-1c,25,FOUR (Node Name used),55.0118266,-2.1641879,FOUR (Node Name used) 25kV
FOUX41,NGET,B-2-2c,400,FOUR CROSSES,52.761055,-3.086444,FOUR CROSSES 400kV
FOYE2-,SHET,"B-2-1a, B-2-2a",275,FOYERS,57.269073,-4.474314,FOYERS 275kV
FOYE2-,SHET,"B-2-1a, B-2-2a",275,FOYERS,57.269073,-4.474314,FOYERS 275kV
FOYE2J,SHET,"B-2-1a, B-2-2a",275,FOYERS,57.269073,-4.474314,FOYERS 275kV
FOYE2J,SHET,"B-2-1a, B-2-2a",275,FOYERS,57.269073,-4.474314,FOYERS 275kV
FRAS1Q,SHET,"B-2-1a, B-3-1a",132,FRASERBURGH,57.685868,-2.024427,FRASERBURGH 132kV
FRAS1R,SHET,"B-2-1a, B-3-1a",132,FRASERBURGH,57.685868,-2.024427,FRASERBURGH 132kV
FRAS3-,SHET,B-3-1a,33,FRASERBURGH,57.685868,-2.024427,FRASERBURGH 33kV
FRIN4A,NGET,B-2-1c,400,FRISTON NORTH,52.197598,1.529533,FRISTON NORTH 400kV
FRIN4B,NGET,B-2-1c,400,FRISTON NORTH,52.197598,1.529533,FRISTON NORTH 400kV
FRIS41,NGET,B-2-1c,400,FRISTON,52.197598,1.529533,FRISTON 400kV
FRIS4A,NGET,B-2-1c,400,FRISTON,52.197598,1.529533,FRISTON 400kV
FRIS4B,NGET,B-2-1c,400,FRISTON,52.197598,1.529533,FRISTON 400kV
FRIS4C,NGET,B-2-1c,400,FRISTON,52.197598,1.529533,FRISTON 400kV
FRIS4D,NGET,B-2-1c,400,FRISTON,52.197598,1.529533,FRISTON 400kV
FROD11,NGET,B-3-1c,132,FRODSHAM,53.3087308,-2.7159515,FRODSHAM 132kV
FROD21,NGET,"B-2-1c, B-3-1c",275,FRODSHAM,53.3087308,-2.7159515,FRODSHAM 275kV
FROD22,NGET,"B-2-1c, B-3-1c",275,FRODSHAM,53.3087308,-2.7159515,FRODSHAM 275kV
FROD41,NGET,"B-2-1c, B-3-1c, B-4-1c",400,FRODSHAM,53.3087308,-2.7159515,FRODSHAM 400kV
FWIL1Q,SHET,"B-2-1a, B-2-2a, B-3-1a",132,FORT WILLIAM,56.820386,-5.077876,FORT WILLIAM 132kV
FWIL1R,SHET,"B-2-1a, B-2-2a, B-3-1a",132,FORT WILLIAM,56.820386,-5.077876,FORT WILLIAM 132kV
FWIL3-,SHET,B-3-1a,33,FORT WILLIAM,56.820386,-5.077876,FORT WILLIAM 33kV
