Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
GRST2B,NGET,"B-2-1c, B-4-1c",275,GREYSTONES,54.5752847,-1.1247447,GREYSTONES 275kV
GRST61,NGET,B-3-1c,66,GREYSTONES,54.5752847,-1.1247447,GREYSTONES 66kV
GRTO61,NGET,B-3-1c,66,GRANGETOWN,54.5805217,-1.1487554,GRANGETOWN 66kV
GRUB1Q,SHET,"B-2-1a, B-3-1a",132,GRUDIE BRIDGE,57.61942711,-4.83122518,GRUDIE BRIDGE 132kV
GRUB1R,SHET,"B-2-1a, B-3-1a",132,GRUDIE BRIDGE,57.61942711,-4.83122518,GRUDIE BRIDGE 132kV
GRUB3-,SHET,B-3-1a,33,GRUDIE BRIDGE,57.61942711,-4.83122518,GRUDIE BRIDGE 33kV
GWYD41,NGET,B-2-2c,400,GWYDDELWERN,51.63360252,-3.82781026,GWYDDELWERN 400kV
GWYN4A,NGET,"B-2-1c, B-2-2c",400,GWYNEDD,53.180981,-4.148713,GWYNEDD 400kV
GWYN4B,NGET,"B-2-1c, B-2-2c",400,GWYNEDD,53.180981,-4.148713,GWYNEDD 400kV
HACK11,NGET,B-3-1c,132,HACKNEY,51.5589262,-0.0443504,HACKNEY 132kV
HACK21,NGET,B-2-2c,275,HACKNEY,51.5589262,-0.0443504,HACKNEY 275kV
