Site Name,Site Code,latitude,longitude,Verified?
CHAP - CHAPELCROSS Substation,CHAP,55.016718,-3.230973,Yes
CHAR - CHARLESTON Substation,CHAR,56.473239,-3.045498,Yes
CHAS - CHARLOTTE STREET Substation,CHAS,51.131238,-2.753458,Yes
CHIC - Chickerell Substation,CHIC,50.6246451,-2.4865271,Yes
CHIL - Chilling Substation,CHIL,50.821745,-1.32857,Yes
CHSI - Chessington Substation,CHSI,51.3441149,-0.3227094,Yes
CHTE - Chesterfield Substation,CHTE,53.2245523,-1.3888986,Yes
Unknown - from ETYS,CHUE,51.490805,0.3119,Yes
CILF - Cilfynydd Substation,CILF,51.6359308,-3.3002428,Yes
CITR - City Road Substation,CITR,51.5301876,-0.0957412,Yes
CLAY - CLAYHILLS Substation,CLAY,57.14037,-2.09921,Yes
CLEH - Cleve Hill Substation,CLEH,51.33821,0.9403402,Yes
CLTO - Clacton Substation,CLTO,51.824923,1.180027,Yes
CLUN - CLUNIE Substation,CLUN,56.717358,-3.783803,Yes
CLYM - CLYDE'S MILL Substation,CLYM,55.82234,-4.147249,Yes
COAL - COALBURN Substation,COAL,55.616293,-3.868363,Yes
COAT - COATBRIDGE Substation,COAT,55.851041,-4.012535,Yes
COCK - COCKENZIE Substation,COCK,55.96732,-2.967959,Yes
COGA - CORRIEGARTH WIND FARM Substation,COGA,57.19239,-4.401717,Yes
CONN - CONNAGILL Substation,CONN,58.513089,-3.880142,Yes
CONQ - Connahs Quay Substation,CONQ,53.2299029,-3.0739134,Yes
CORI - CORRIEMOILLIE Substation,CORI,57.633927,-4.770315,Yes
COSO - Coryton South Substation,COSO,51.512869,0.5067038,Yes
COTT - Cottam Substation,COTT,53.3007371,-0.7812314,Yes
COUA - COUPAR ANGUS Substation,COUA,56.538325,-3.274364,Yes
COVE - Coventry Substation,COVE,52.4564638,-1.4637597,Yes
COWL - Cowley Substation,COWL,51.7115242,-1.1905126,Yes
Unknown - from ETYS,COWT,51.4635,-3.4483,Yes
COYL - COYLTON Substation,COYL,55.447272,-4.433423,Yes
CRAI - CRAIGIEBUCKLER Substation,CRAI,57.131363,-2.15516,Yes
CRAR - CRARAE Substation,CRAR,56.131476,-5.265569,Yes
CRBB - CREYKE BECK B Substation,CRBB,53.800779,-0.417285,Yes
CRCK - CARRICK Substation,CRCK,54.712826,-5.845723,Yes
CREA - CREAG RIABHACH WINDFARM Substation,CREA,58.210945,-4.504422,Yes
CREB - Creyke Beck Substation,CREB,53.8006736,-0.4152764,Yes
CROO - CROOKSTON Substation,CROO,55.821218,-4.36564,Yes
CRSS - CROSSAIG Substation,CRSS,55.697574,-5.458941,Yes
CRUA - CRUACHAN Substation,CRUA,56.402589,-5.113106,Yes
CRYR - CRYSTAL RIG Substation,CRYR,55.914414,-2.540878,Yes
CULJ - Culham Jet Substation,CULJ,51.661185,-1.2283331,Yes
CULL - CULLIGRAN Substation,CULL,57.425697,-4.702586,Yes
CUMB - CUMBERNAULD Substation,CUMB,55.94679,-3.963214,Yes
CUPA - CUPAR Substation,CUPA,56.313635,-3.036693,Yes
CURR - CURRIE Substation,CURR,55.903585,-3.309707,Yes
DAAS - DALLAS SUBSTATION Substation,DAAS,57.556853,-3.420952,Yes
DAIN - Daines Substation,DAIN,53.4257165,-2.3790951,Yes
DALL - DALMALLY Substation,DALL,56.419297,-5.013252,Yes
DALM - DALMARNOCK Substation,DALM,55.835675,-4.202754,Yes
DAMC - Damhead Creek Substation,DAMC,51.4243519,0.5986603,Yes
DENN - DENNY NORTH Substation,DENN,56.041114,-3.890352,Yes
DESA - DERSALLOCH Substation,DESA,55.319511,-4.470275,Yes
DEVM - DEVOL MOOR Substation,DEVM,55.915043,-4.708201,Yes
DEVO - DEVONSIDE Substation,DEVO,56.137529,-3.780472,Yes
DEWP - DEWAR PLACE Substation,DEWP,55.947299,-3.210496,Yes
DIDC - Didcot Substation,DIDC,51.6255894,-1.2592372,Yes
DINO - Dinorwig Substation,DINO,53.1214799,-4.1000743,Yes
DISS - Diss Substation,DISS,52.373583,1.123509,Yes
DLCH - DALCHORK Substation,DLCH,58.05275,-4.403321,Yes
DONO - DOUGLAS NORTH COLLECTOR Substation,DONO,55.591663,-3.833201,Yes
DORE - DORENELL WIND FARM Substation,DORE,57.378498,-3.099156,Yes
DOUN - DOUNREAY Substation,DOUN,58.575171,-3.754186,Yes
DRAK - Drakelow Substation,DRAK,52.7737995,-1.6530489,Yes
DRAX - Drax Substation,DRAX,53.73623,-0.9924143,Yes
DRCR - DRUMCROSS Substation,DRCR,55.906367,-3.58658,Yes
DRUM - DRUMCHAPEL Substation,DRUM,55.915856,-4.348515,Yes
DUBE - DUNBEATH Substation,DUBE,58.265436,-3.434883,Yes
DUDH - DUDHOPE Substation,DUDH,56.463057,-2.978537,Yes
DUGR - DUNVEGAN GRID Substation,DUGR,57.432803,-6.540024,Yes
DUMF - DUMFRIES Substation,DUMF,55.067177,-3.59154,Yes
DUNB - DUNBAR Substation,DUNB,55.977683,-2.573862,Yes
DUNF - DUNFERMLINE Substation,DUNF,56.089209,-3.450254,Yes
DUNG - Dungeness Substation,DUNG,50.9149978,0.9474265,Yes
DUNH - DUNHILL Substation,DUNH,55.313081,-4.204373,Yes
DUNM - DUNMAGLASS Substation,DUNM,57.271178,-4.307108,Yes
DUNO - DUNOON Substation,DUNO,55.975839,-4.94853,Yes
DYCE - DYCE Substation,DYCE,57.216223,-2.190244,Yes
EAAW - EAST ANGLIA ONE OFFSHORE Substation,EAAW,52.074381,1.055105,Yes
EACS - East Anglia Coastal Substation Substation,EACS,51.798486,1.152197,Yes
EALI - Ealing Substation,EALI,51.501853,-0.2961377,Yes
EASO - Eaton Socon Substation,EASO,52.214647,-0.3016446,Yes
EAST - EARLSTOUN Substation,EAST,55.112317,-4.174227,Yes
ECCF - ECCLEFECHAN Substation,ECCF,55.06615,-3.285258,Yes
ECCL - ECCLES Substation,ECCL,55.67,-2.331565,Yes
ECLA - East Claydon Substation,ECLA,51.9262506,-0.907189,Yes
EDIN - EDINBANE 132/33KV Substation,EDIN,54.611714,-5.88401,Yes
EERH - EASTERHOUSE Substation,EERH,55.878703,-4.07267,Yes
EGGB - Eggborough Substation,EGGB,53.7134214,-1.1297638,Yes
EKIL - EAST KILBRIDE Substation,EKIL,55.786395,-4.194066,Yes
EKIS - EAST KILBRIDE SOUTH Substation,EKIS,55.740211,-4.163565,Yes
ELDE - ELDERSLIE Substation,ELDE,55.840778,-4.464261,Yes
ELGI - ELGIN Substation,ELGI,57.664204,-3.320743,Yes
ELLA - Elland Substation,ELLA,53.6938903,-1.8237307,Yes
ELST - Elstree Substation,ELST,51.661503,-0.3453766,Yes
ELVA - ELVANFOOT Substation,ELVA,55.438186,-3.67154,Yes
ENDE - Enderby Substation,ENDE,52.5976328,-1.2170178,Yes
ERRO - ERROCHTY Substation,ERRO,56.707473,-4.009644,Yes
ERSK - ERSKINE Substation,ERSK,55.903641,-4.482831,Yes
